tx_price,beds,baths,sqft,lot_size,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,two_and_two,during_recesssion,property_age,school_score,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Metal,exterior_walls_Siding (Alum/Vinyl),exterior_walls_Wood,exterior_walls_missing,exterior_walls_other,roof_Asphalt,roof_Composition Shingle,roof_Missing,roof_Shake Shingle,roof_other,property_type_Apartment / Condo / Townhouse,property_type_Single-Family
231900,1,1,750,0,0.0,100,8,9,10,85,9,81,28,35,63,70,118,41,7.0,3,0,0,41,21.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
284000,1,1,755,0,1.0,41,5,3,4,46,2,31,16,40,64,77,258,78,10.0,3,0,1,16,30.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
255000,1,1,759,0,0.0,150,8,37,23,95,10,73,74,31,23,81,190,66,9.0,3,0,1,53,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
285850,1,1,759,0,1.0,99,9,8,11,103,4,46,34,31,30,99,266,81,8.0,3,0,0,0,24.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
249298,1,1,759,0,1.0,49,6,4,5,33,1,17,25,27,38,35,251,76,5.0,3,0,1,0,15.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
380000,1,1,760,0,0.0,192,17,40,31,112,11,81,77,31,13,84,291,101,8.0,3,0,1,20,24.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
244800,1,1,767,0,0.0,54,11,7,4,55,16,39,41,34,44,90,190,66,6.0,3,0,1,67,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
397400,1,1,771,111513,0.0,213,13,44,30,108,11,91,88,33,40,96,345,119,5.0,3,0,0,0,15.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
345000,1,1,781,0,0.0,54,8,6,3,48,16,37,44,33,35,72,284,98,6.0,3,0,0,1,18.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
220000,1,1,792,0,1.0,31,5,4,4,33,0,37,11,35,50,82,221,67,8.0,3,0,0,22,24.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
279000,1,1,796,0,1.0,134,5,22,28,314,7,96,34,64,52,63,286,87,8.0,3,0,0,28,24.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
286900,1,1,797,0,1.0,58,3,4,11,166,6,36,9,32,69,70,184,56,7.0,3,0,0,1,21.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
220000,1,1,800,0,1.0,18,1,0,3,15,0,5,11,39,64,81,184,56,6.0,3,0,0,30,18.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
305000,1,1,805,0,0.0,46,8,6,3,51,15,33,37,36,37,80,150,49,4.0,3,0,0,64,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
409575,1,1,805,46609,0.0,193,10,37,27,133,10,74,86,29,15,82,302,104,9.0,3,0,0,1,27.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
300367,1,1,805,0,1.0,71,13,5,13,31,12,48,28,32,43,63,261,79,5.0,3,0,0,0,15.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
230000,1,1,809,0,0.0,48,7,3,9,49,2,36,48,40,41,90,172,60,9.0,3,0,0,42,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
270000,1,1,810,0,1.0,78,18,15,15,70,6,45,30,45,47,54,190,58,3.0,3,0,0,30,9.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
210000,1,1,811,0,0.0,60,12,10,10,76,8,36,37,30,72,34,143,49,4.0,3,0,1,42,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
366700,1,1,817,0,1.0,124,12,10,15,111,12,65,41,32,32,88,274,83,7.0,3,0,0,2,21.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
238600,1,1,834,0,0.0,45,12,9,11,28,7,33,20,43,32,66,185,61,2.0,3,0,1,21,6.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
284900,1,1,838,0,1.0,71,13,5,13,31,12,48,28,32,43,63,249,76,5.0,3,0,0,1,15.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
253000,1,1,850,0,0.0,97,15,11,12,97,2,70,25,32,13,72,146,48,2.0,3,0,0,31,6.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
305000,1,1,850,0,1.0,66,11,5,11,24,5,50,15,56,24,66,200,61,5.0,3,0,0,22,15.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
280000,1,1,850,0,1.0,66,11,5,9,28,5,52,14,56,24,66,180,55,5.0,3,0,0,19,15.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
411000,1,1,855,0,0.0,79,10,11,11,66,6,43,40,36,36,90,298,103,9.0,3,0,0,1,27.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
270900,1,1,856,0,0.0,65,8,6,7,51,6,33,35,33,16,72,167,58,4.0,3,0,0,0,12.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
406250,1,1,859,0,0.0,201,11,40,28,131,10,73,85,36,25,91,316,109,9.0,3,0,0,6,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
365000,1,1,866,0,0.0,190,7,34,36,194,12,62,33,32,31,85,277,96,6.0,3,0,0,26,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
440000,1,1,879,0,0.0,198,9,38,25,126,12,72,84,29,15,82,367,127,9.0,3,0,0,1,27.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
250000,1,1,880,0,0.0,64,8,6,7,51,8,34,33,37,42,57,125,43,4.0,3,0,0,40,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
350100,1,1,900,18730,1.0,44,15,1,4,51,3,20,5,31,51,47,294,89,4.0,3,0,0,59,12.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
250000,1,1,900,0,0.0,119,10,26,25,183,13,70,36,57,13,83,198,68,6.0,3,0,1,46,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
305000,1,1,902,0,1.0,167,7,23,29,340,12,113,51,43,64,72,258,78,10.0,3,0,0,27,30.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
200000,1,1,914,0,1.0,95,18,19,18,92,6,49,21,52,33,53,180,54,3.0,3,0,0,25,9.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
371500,1,1,917,0,1.0,71,13,5,13,31,12,48,28,32,43,63,319,97,5.0,3,0,1,6,15.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
270000,1,1,920,0,1.0,33,5,4,5,29,2,21,17,34,66,72,168,51,8.0,3,0,0,27,24.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
318000,1,1,926,0,0.0,145,7,20,20,83,11,49,73,34,32,49,230,79,7.0,3,0,0,35,21.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
408400,1,1,933,0,1.0,102,8,8,11,103,4,47,34,31,30,99,310,94,8.0,3,0,0,0,24.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
325000,1,1,934,0,1.0,121,11,10,15,109,13,59,44,52,42,63,180,54,7.0,3,0,0,12,21.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
239000,1,1,945,0,1.0,21,3,1,5,28,3,9,13,48,40,59,184,56,7.0,1,0,0,23,7.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
367500,1,1,950,0,0.0,192,7,34,37,194,10,61,33,45,32,79,345,119,6.0,3,0,0,20,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
378000,1,1,961,0,0.0,54,8,6,3,48,16,37,44,33,35,72,280,97,6.0,3,0,1,7,18.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
269000,1,1,966,0,1.0,110,12,10,14,102,12,60,44,52,42,63,241,73,7.0,3,0,0,10,21.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
245000,1,1,999,0,1.0,88,17,18,18,88,6,47,25,59,54,57,163,49,3.0,3,0,0,28,9.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
225000,1,1,1005,0,1.0,66,10,5,10,23,6,49,14,56,24,66,184,56,5.0,3,0,0,32,15.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
302000,1,1,1014,0,1.0,101,8,8,11,70,4,30,23,33,48,85,284,86,4.0,3,0,1,26,12.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
387900,1,1,1050,0,1.0,102,8,8,11,103,4,47,34,31,30,99,310,94,8.0,3,0,0,0,24.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
560000,1,1,1092,0,0.0,194,6,35,39,193,10,63,35,46,37,90,489,169,6.0,3,0,0,23,18.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
750000,1,1,1322,0,0.0,266,10,53,47,320,35,122,94,28,52,72,666,231,8.0,3,0,1,3,24.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
299700,1,2,814,96703,0.0,75,11,10,8,91,5,53,40,45,60,71,321,93,9.0,3,0,1,4,27.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
779900,1,2,1207,0,0.0,164,11,32,31,107,12,62,64,36,25,75,612,212,8.0,3,0,0,2,24.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
379000,1,2,1489,0,0.0,37,6,5,4,45,10,24,25,39,41,83,258,89,6.0,3,0,0,67,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
225000,2,1,768,0,1.0,8,1,0,3,9,2,10,9,35,29,73,192,58,4.0,3,0,0,56,12.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
230000,2,1,793,0,1.0,10,1,0,4,10,2,10,10,35,29,73,196,59,4.0,3,0,0,54,12.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
328000,2,1,800,0,0.0,74,15,13,11,51,18,44,42,33,35,87,219,76,6.0,3,0,0,55,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
407800,2,1,803,33541,0.0,198,9,38,25,127,11,72,83,36,25,91,309,107,9.0,3,0,0,5,27.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
470630,2,1,814,9686,0.0,146,7,22,20,79,10,49,73,27,21,94,313,108,9.0,3,0,0,1,27.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
270000,2,1,816,3846,1.0,43,9,4,6,24,0,21,11,38,63,46,340,103,5.0,3,0,0,66,15.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
359500,2,1,835,0,0.0,38,9,5,4,51,9,32,29,31,58,93,282,93,4.0,3,0,0,55,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
355000,2,1,836,0,0.0,56,7,9,6,64,6,40,41,36,36,90,265,92,9.0,3,0,1,18,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
283000,2,1,845,0,0.0,148,12,20,13,88,13,65,49,44,20,74,182,63,7.0,3,0,0,64,21.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
378000,2,1,864,1296,1.0,70,9,14,13,59,5,35,45,35,47,32,319,106,4.0,3,0,0,73,12.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
255000,2,1,870,1306,0.0,5,0,0,0,5,0,0,5,32,64,57,242,62,7.0,3,0,0,23,21.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
306000,2,1,875,0,0.0,51,8,6,2,40,18,33,40,36,49,77,228,79,6.0,3,0,1,62,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
369900,2,1,891,0,1.0,124,12,10,15,111,12,65,41,32,32,88,294,89,7.0,3,0,0,2,21.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
326000,2,1,893,0,1.0,114,9,10,16,101,10,60,41,32,32,88,303,92,7.0,3,0,1,8,21.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
350000,2,1,900,0,0.0,51,8,7,4,53,18,37,43,36,37,80,240,79,4.0,3,0,0,64,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
350000,2,1,900,0,0.0,51,8,7,4,53,18,37,43,36,37,80,240,79,4.0,3,0,0,64,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
396875,2,1,912,48787,0.0,189,13,37,31,102,11,75,64,28,15,86,250,87,8.0,3,0,0,45,24.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
374900,2,1,912,0,0.0,51,8,6,2,40,18,33,40,36,49,77,266,92,6.0,3,0,0,22,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
232150,2,1,920,0,0.0,65,9,9,4,55,17,44,44,36,37,80,240,80,4.0,3,0,0,62,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
327000,2,1,924,0,0.0,50,7,2,6,52,4,37,37,34,34,66,235,81,9.0,3,0,0,47,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
455900,2,1,928,0,0.0,107,9,30,19,89,6,47,58,33,65,84,345,119,9.0,3,0,1,0,27.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
290000,2,1,930,0,0.0,51,9,6,2,45,18,32,42,36,49,77,244,84,6.0,3,0,0,23,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
301000,2,1,930,1135,1.0,92,8,7,9,47,5,45,17,31,74,59,204,62,8.0,3,0,0,19,24.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
275000,2,1,930,1059,1.0,6,2,0,0,4,0,4,1,36,62,63,233,71,7.5,2,0,0,16,15.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
531000,2,1,931,0,0.0,193,14,42,28,114,11,93,89,33,40,96,414,143,5.0,3,0,1,5,15.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
405000,2,1,945,14374,1.0,32,6,3,7,27,2,22,12,38,64,73,457,139,8.0,3,0,1,57,24.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
336000,2,1,950,0,0.0,42,6,7,4,50,14,31,31,39,21,89,276,91,4.0,3,0,0,73,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
214000,2,1,952,0,1.0,129,8,22,25,318,7,102,34,36,42,67,202,61,8.0,3,0,1,46,24.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
327500,2,1,958,0,0.0,65,8,9,4,55,17,44,42,39,21,89,234,77,4.0,3,0,1,69,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
251489,2,1,959,4918,0.0,1,0,0,0,4,0,0,0,43,60,36,176,49,5.0,3,0,1,80,15.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
238900,2,1,960,0,1.0,72,9,8,9,100,10,97,25,40,68,73,195,59,9.0,3,0,1,50,27.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
297000,2,1,960,0,1.0,173,11,38,30,106,10,73,72,32,24,82,262,91,5.0,3,0,0,43,15.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
235000,2,1,960,800,1.0,69,6,5,8,40,4,44,15,30,50,45,204,62,6.0,3,0,0,29,18.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
210000,2,1,960,1820,1.0,6,2,0,0,4,0,4,1,36,62,63,216,66,7.5,2,0,1,23,15.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
215000,2,1,966,0,0.0,96,11,12,7,38,8,39,34,36,40,81,147,51,4.0,3,0,1,52,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
285000,2,1,966,0,1.0,109,12,10,14,103,12,60,44,52,42,63,258,78,7.0,3,0,1,19,21.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
239900,2,1,976,1120,1.0,95,6,10,6,42,2,51,24,32,83,31,200,61,5.0,3,0,0,35,15.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
375500,2,1,983,0,0.0,194,6,35,39,193,10,63,35,46,37,90,298,103,6.0,3,0,1,29,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
415000,2,1,993,0,0.0,194,6,35,39,193,10,63,35,46,37,90,336,116,6.0,3,0,0,22,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
230581,2,1,996,0,0.0,72,3,10,10,136,7,46,23,35,89,59,164,42,7.0,3,0,0,20,21.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
400000,2,1,1008,1995,1.0,19,1,3,0,8,1,7,6,41,62,85,254,77,6.0,2,0,0,19,12.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
420000,2,1,1010,0,0.0,40,8,5,4,50,14,32,33,31,58,93,295,98,4.0,3,0,0,51,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
292000,2,1,1011,0,0.0,96,11,12,7,38,8,39,34,36,40,81,149,51,4.0,3,0,0,47,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
200000,2,1,1015,1615,1.0,185,8,31,32,284,33,173,81,38,56,55,353,117,2.0,3,0,0,73,6.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
226000,2,1,1021,0,0.0,48,7,2,6,52,5,36,35,34,34,66,201,69,9.0,3,0,1,49,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
220000,2,1,1024,0,0.0,76,7,19,14,39,7,32,33,44,40,28,228,75,3.0,3,0,1,1,9.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
280000,2,1,1032,0,0.0,128,11,29,25,184,15,68,41,57,13,83,208,72,6.0,3,0,0,51,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
299900,2,1,1032,0,1.0,76,16,12,11,90,5,29,22,40,50,55,154,47,3.0,3,0,0,42,9.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
204000,2,1,1044,0,0.0,48,7,2,6,52,5,36,35,34,34,66,201,69,9.0,3,0,0,54,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
350000,2,1,1062,0,0.0,43,7,6,2,23,18,28,42,33,35,87,267,92,6.0,3,0,0,24,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
228000,2,1,1070,0,1.0,34,2,0,3,25,6,13,20,47,51,77,184,56,7.0,3,0,0,42,21.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
300000,2,1,1073,0,1.0,21,3,1,5,13,3,11,12,43,22,67,179,54,7.0,3,0,0,33,21.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
280000,2,1,1083,0,0.0,132,9,13,15,79,9,49,49,55,23,42,190,66,5.0,3,0,0,49,15.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
305500,2,1,1100,0,0.0,212,14,43,33,146,9,84,86,33,62,81,303,105,9.0,3,0,0,48,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
348500,2,1,1103,0,0.0,48,12,6,2,48,19,41,41,36,23,90,252,87,6.0,3,0,0,65,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
210000,2,1,1177,0,1.0,78,18,15,15,70,6,45,30,45,47,54,220,67,3.0,3,0,0,26,9.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
250000,2,1,1179,0,0.0,103,24,17,15,95,7,46,22,29,53,36,143,49,3.0,3,0,0,42,9.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
229000,2,1,1185,15681,1.0,0,0,0,0,4,0,0,1,43,60,36,198,56,5.0,3,0,0,49,15.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
300000,2,1,1188,3001,1.0,29,7,3,3,36,1,23,15,34,68,36,255,84,2.0,3,0,0,55,6.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
220000,2,1,1194,0,1.0,88,17,18,18,88,6,47,25,59,54,57,188,57,3.0,3,0,0,35,9.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
275000,2,1,1197,1306,1.0,22,2,1,5,10,3,11,11,28,80,22,231,70,5.0,3,0,1,41,15.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
312000,2,1,1200,0,1.0,8,1,0,3,9,2,10,9,35,29,73,295,89,4.0,3,0,1,62,12.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
265000,2,1,1240,3484,1.0,67,4,4,11,162,3,40,24,35,50,66,261,67,7.0,3,0,1,26,21.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
