tx_price,beds,baths,sqft,year_built,lot_size,property_type,exterior_walls,roof,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year
240000,1,1,703,1992,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,82,6,7,8,45,6,52,13,30,46,36,139,42,7,3,2005
320000,1,1,704,2005,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,99,8,8,11,103,4,47,34,31,30,99,261,79,8,3,2007
290800,1,1,704,2006,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,99,9,8,11,103,4,46,34,31,30,99,257,78,8,3,2006
375000,1,1,705,1985,0,Apartment / Condo / Townhouse,Brick,,,182,10,31,25,103,10,63,83,33,21,99,244,85,9,3,2005
377000,1,1,709,2005,111513,Apartment / Condo / Townhouse,Wood Siding,,,213,13,44,30,108,11,91,88,33,40,96,316,109,5,3,2008
262500,1,1,711,1944,0,Apartment / Condo / Townhouse,Brick,,,51,9,6,2,43,18,35,42,36,49,77,201,69,6,3,2014
216250,1,1,712,1944,0,Single-Family,Brick,,,53,13,7,3,43,19,43,41,36,23,90,187,64,6,3,2004
270000,1,1,722,1985,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,101,8,8,11,74,4,30,26,33,48,85,218,66,4,3,2005
235000,1,1,723,2005,0,Apartment / Condo / Townhouse,Stucco,Other,1,102,8,8,11,103,4,47,34,31,30,99,278,85,8,3,2009
225000,1,1,724,1958,0,Apartment / Condo / Townhouse,Brick,,,122,11,27,25,183,12,69,36,57,13,83,118,41,6,3,2009
370000,1,1,725,2006,0,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,26,127,11,72,83,36,25,91,306,106,9,3,2011
232000,1,1,736,1998,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,31,3,7,8,77,1,14,11,36,47,83,243,74,8,3,2008
281900,1,1,737,2000,0,Apartment / Condo / Townhouse,Brick,,1,109,9,7,17,97,5,38,31,32,34,50,229,69,4,3,2005
355000,1,1,740,2000,0,Apartment / Condo / Townhouse,Brick,,,201,11,40,28,131,10,73,85,36,25,91,298,103,9,3,2006
350000,1,1,741,2006,0,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,26,127,11,72,83,36,25,91,291,101,9,3,2009
231900,1,1,750,1964,0,Apartment / Condo / Townhouse,Brick,,,100,8,9,10,85,9,81,28,35,63,70,118,41,7,3,2005
284000,1,1,755,1996,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,41,5,3,4,46,2,31,16,40,64,77,258,78,10,3,2012
255000,1,1,759,1959,0,Apartment / Condo / Townhouse,Brick,,,150,8,37,23,95,10,73,74,31,23,81,190,66,9,3,2012
285850,1,1,759,2006,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,99,9,8,11,103,4,46,34,31,30,99,266,81,8,3,2006
249298,1,1,759,2012,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),,1,49,6,4,5,33,1,17,25,27,38,35,251,76,5,3,2012
380000,1,1,760,1991,0,Apartment / Condo / Townhouse,Brick,,,192,17,40,31,112,11,81,77,31,13,84,291,101,8,3,2011
244800,1,1,767,1944,0,Apartment / Condo / Townhouse,Brick,,,54,11,7,4,55,16,39,41,34,44,90,190,66,6,3,2011
397400,1,1,771,2005,111513,Apartment / Condo / Townhouse,Wood Siding,,,213,13,44,30,108,11,91,88,33,40,96,345,119,5,3,2005
345000,1,1,781,2006,0,Apartment / Condo / Townhouse,Wood Siding,,,54,8,6,3,48,16,37,44,33,35,72,284,98,6,3,2007
220000,1,1,792,1987,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1,31,5,4,4,33,0,37,11,35,50,82,221,67,8,3,2009
279000,1,1,796,1986,0,Apartment / Condo / Townhouse,Concrete,Gravel/Rock,1,134,5,22,28,314,7,96,34,64,52,63,286,87,8,3,2014
286900,1,1,797,2005,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,58,3,4,11,166,6,36,9,32,69,70,184,56,7,3,2006
220000,1,1,800,1985,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,18,1,0,3,15,0,5,11,39,64,81,184,56,6,3,2015
305000,1,1,805,1941,0,Apartment / Condo / Townhouse,Brick,,,46,8,6,3,51,15,33,37,36,37,80,150,49,4,3,2005
409575,1,1,805,2005,46609,Apartment / Condo / Townhouse,Concrete Block,,,193,10,37,27,133,10,74,86,29,15,82,302,104,9,3,2006
300367,1,1,805,2007,0,Apartment / Condo / Townhouse,Block,Roll Composition,1,71,13,5,13,31,12,48,28,32,43,63,261,79,5,3,2007
230000,1,1,809,1965,0,Apartment / Condo / Townhouse,Brick,,,48,7,3,9,49,2,36,48,40,41,90,172,60,9,3,2007
270000,1,1,810,1975,0,Apartment / Condo / Townhouse,Brick,,1,78,18,15,15,70,6,45,30,45,47,54,190,58,3,3,2005
210000,1,1,811,1969,0,Apartment / Condo / Townhouse,Brick,,,60,12,10,10,76,8,36,37,30,72,34,143,49,4,3,2011
366700,1,1,817,2004,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,124,12,10,15,111,12,65,41,32,32,88,274,83,7,3,2006
238600,1,1,834,1992,0,Apartment / Condo / Townhouse,Brick,,,45,12,9,11,28,7,33,20,43,32,66,185,61,2,3,2013
284900,1,1,838,2007,0,Apartment / Condo / Townhouse,Block,Roll Composition,1,71,13,5,13,31,12,48,28,32,43,63,249,76,5,3,2008
253000,1,1,850,1974,0,Apartment / Condo / Townhouse,Brick,,,97,15,11,12,97,2,70,25,32,13,72,146,48,2,3,2005
305000,1,1,850,1984,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1,66,11,5,11,24,5,50,15,56,24,66,200,61,5,3,2006
280000,1,1,850,1986,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1,66,11,5,9,28,5,52,14,56,24,66,180,55,5,3,2005
411000,1,1,855,2006,0,Apartment / Condo / Townhouse,Wood Siding,,,79,10,11,11,66,6,43,40,36,36,90,298,103,9,3,2007
270900,1,1,856,2005,0,Apartment / Condo / Townhouse,Wood Siding,,,65,8,6,7,51,6,33,35,33,16,72,167,58,4,3,2005
406250,1,1,859,2000,0,Apartment / Condo / Townhouse,Brick,,,201,11,40,28,131,10,73,85,36,25,91,316,109,9,3,2006
365000,1,1,866,1989,0,Apartment / Condo / Townhouse,Brick,,,190,7,34,36,194,12,62,33,32,31,85,277,96,6,3,2015
440000,1,1,879,2008,0,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,25,126,12,72,84,29,15,82,367,127,9,3,2009
250000,1,1,880,1965,0,Single-Family,Brick,,,64,8,6,7,51,8,34,33,37,42,57,125,43,4,3,2005
350100,1,1,900,1947,18730,Single-Family,Stucco,Composition Shingle,1,44,15,1,4,51,3,20,5,31,51,47,294,89,4,3,2006
250000,1,1,900,1965,0,Apartment / Condo / Townhouse,Brick,,,119,10,26,25,183,13,70,36,57,13,83,198,68,6,3,2011
305000,1,1,902,1978,0,Apartment / Condo / Townhouse,Concrete,Gravel/Rock,1,167,7,23,29,340,12,113,51,43,64,72,258,78,10,3,2005
200000,1,1,914,1982,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1,95,18,19,18,92,6,49,21,52,33,53,180,54,3,3,2007
371500,1,1,917,2007,0,Apartment / Condo / Townhouse,Block,Roll Composition,1,71,13,5,13,31,12,48,28,32,43,63,319,97,5,3,2013
270000,1,1,920,1978,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,33,5,4,5,29,2,21,17,34,66,72,168,51,8,3,2005
318000,1,1,926,1973,0,Apartment / Condo / Townhouse,Brick,,,145,7,20,20,83,11,49,73,34,32,49,230,79,7,3,2008
408400,1,1,933,2005,0,Single-Family,Stucco,Other,1,102,8,8,11,103,4,47,34,31,30,99,310,94,8,3,2005
325000,1,1,934,1993,0,Apartment / Condo / Townhouse,Stucco,Composition Shingle,1,121,11,10,15,109,13,59,44,52,42,63,180,54,7,3,2005
239000,1,1,945,1984,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,21,3,1,5,28,3,9,13,48,40,59,184,56,7,1,2007
367500,1,1,950,1986,0,Apartment / Condo / Townhouse,Brick,,,192,7,34,37,194,10,61,33,45,32,79,345,119,6,3,2006
378000,1,1,961,2006,0,Apartment / Condo / Townhouse,Wood Siding,,,54,8,6,3,48,16,37,44,33,35,72,280,97,6,3,2013
269000,1,1,966,1996,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,110,12,10,14,102,12,60,44,52,42,63,241,73,7,3,2006
245000,1,1,999,1979,0,Apartment / Condo / Townhouse,Brick,,1,88,17,18,18,88,6,47,25,59,54,57,163,49,3,3,2007
225000,1,1,1005,1982,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1,66,10,5,10,23,6,49,14,56,24,66,184,56,5,3,2014
302000,1,1,1014,1985,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,101,8,8,11,70,4,30,23,33,48,85,284,86,4,3,2011
387900,1,1,1050,2005,0,Apartment / Condo / Townhouse,Stucco,Other,1,102,8,8,11,103,4,47,34,31,30,99,310,94,8,3,2005
560000,1,1,1092,1984,0,Apartment / Condo / Townhouse,Brick,Asphalt,,194,6,35,39,193,10,63,35,46,37,90,489,169,6,3,2007
750000,1,1,1322,2009,0,Apartment / Condo / Townhouse,Wood Siding,,,266,10,53,47,320,35,122,94,28,52,72,666,231,8,3,2012
299700,1,2,814,2008,96703,Apartment / Condo / Townhouse,Wood Siding,Slate,,75,11,10,8,91,5,53,40,45,60,71,321,93,9,3,2012
779900,1,2,1207,2012,0,Apartment / Condo / Townhouse,Brick,,,164,11,32,31,107,12,62,64,36,25,75,612,212,8,3,2014
379000,1,2,1489,1940,0,Apartment / Condo / Townhouse,Brick,,,37,6,5,4,45,10,24,25,39,41,83,258,89,6,3,2007
225000,2,1,768,1950,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,8,1,0,3,9,2,10,9,35,29,73,192,58,4,3,2006
230000,2,1,793,1950,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,10,1,0,4,10,2,10,10,35,29,73,196,59,4,3,2004
328000,2,1,800,1950,0,Apartment / Condo / Townhouse,Brick,,,74,15,13,11,51,18,44,42,33,35,87,219,76,6,3,2005
407800,2,1,803,2000,33541,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,25,127,11,72,83,36,25,91,309,107,9,3,2005
470630,2,1,814,2005,9686,Apartment / Condo / Townhouse,Concrete Block,,,146,7,22,20,79,10,49,73,27,21,94,313,108,9,3,2006
270000,2,1,816,1949,3846,Single-Family,Brick,Composition Shingle,1,43,9,4,6,24,0,21,11,38,63,46,340,103,5,3,2015
359500,2,1,835,1954,0,Apartment / Condo / Townhouse,Brick,,,38,9,5,4,51,9,32,29,31,58,93,282,93,4,3,2009
355000,2,1,836,1994,0,Apartment / Condo / Townhouse,Brick,,,56,7,9,6,64,6,40,41,36,36,90,265,92,9,3,2012
283000,2,1,845,1942,0,Apartment / Condo / Townhouse,Brick,,,148,12,20,13,88,13,65,49,44,20,74,182,63,7,3,2006
378000,2,1,864,1942,1296,Apartment / Condo / Townhouse,Brick,Roll Composition,1,70,9,14,13,59,5,35,45,35,47,32,319,106,4,3,2015
255000,2,1,870,1984,1306,Apartment / Condo / Townhouse,,Composition Shingle,,5,0,0,0,5,0,0,5,32,64,57,242,62,7,3,2007
306000,2,1,875,1950,0,Apartment / Condo / Townhouse,Brick,,,51,8,6,2,40,18,33,40,36,49,77,228,79,6,3,2012
292999,2,1,875,1950,1220551,Apartment / Condo / Townhouse,Brick,,,63,11,11,8,39,18,42,44,33,35,87,230,79,6,3,2014
369900,2,1,891,2004,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,124,12,10,15,111,12,65,41,32,32,88,294,89,7,3,2006
326000,2,1,893,2003,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,114,9,10,16,101,10,60,41,32,32,88,303,92,7,3,2011
350000,2,1,900,1941,0,Apartment / Condo / Townhouse,Brick,,,51,8,7,4,53,18,37,43,36,37,80,240,79,4,3,2005
350000,2,1,900,1941,0,Single-Family,Brick,,,51,8,7,4,53,18,37,43,36,37,80,240,79,4,3,2005
396875,2,1,912,1960,48787,Apartment / Condo / Townhouse,Brick,,,189,13,37,31,102,11,75,64,28,15,86,250,87,8,3,2005
374900,2,1,912,1983,0,Apartment / Condo / Townhouse,Brick,,,51,8,6,2,40,18,33,40,36,49,77,266,92,6,3,2005
232150,2,1,920,1941,0,Apartment / Condo / Townhouse,Brick,,,65,9,9,4,55,17,44,44,36,37,80,240,80,4,3,2003
327000,2,1,924,1961,0,Apartment / Condo / Townhouse,Brick,,,50,7,2,6,52,4,37,37,34,34,66,235,81,9,3,2008
455900,2,1,928,2013,0,Apartment / Condo / Townhouse,Wood Siding,,,107,9,30,19,89,6,47,58,33,65,84,345,119,9,3,2013
290000,2,1,930,1983,0,Apartment / Condo / Townhouse,Brick,,,51,9,6,2,45,18,32,42,36,49,77,244,84,6,3,2006
301000,2,1,930,1986,1135,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,92,8,7,9,47,5,45,17,31,74,59,204,62,8,3,2005
275000,2,1,930,1988,1059,Apartment / Condo / Townhouse,Metal,Composition Shingle,1,6,2,0,0,4,0,4,1,36,62,63,233,71,7.5,2,2004
531000,2,1,931,2006,0,Apartment / Condo / Townhouse,Wood Siding,,,193,14,42,28,114,11,93,89,33,40,96,414,143,5,3,2011
405000,2,1,945,1955,14374,Single-Family,Brick,Composition Shingle,1,32,6,3,7,27,2,22,12,38,64,73,457,139,8,3,2012
336000,2,1,950,1941,0,Apartment / Condo / Townhouse,Brick,,,42,6,7,4,50,14,31,31,39,21,89,276,91,4,3,2014
214000,2,1,952,1964,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,129,8,22,25,318,7,102,34,36,42,67,202,61,8,3,2010
327500,2,1,958,1941,0,Apartment / Condo / Townhouse,Brick,,,65,8,9,4,55,17,44,42,39,21,89,234,77,4,3,2010
251489,2,1,959,1930,4918,Single-Family,Wood Shingle,,,1,0,0,0,4,0,0,0,43,60,36,176,49,5,3,2010
238900,2,1,960,1963,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,72,9,8,9,100,10,97,25,40,68,73,195,59,9,3,2013
297000,2,1,960,1964,0,Apartment / Condo / Townhouse,Brick,,1,173,11,38,30,106,10,73,72,32,24,82,262,91,5,3,2007
235000,2,1,960,1985,800,Single-Family,Siding (Alum/Vinyl),Composition Shingle,1,69,6,5,8,40,4,44,15,30,50,45,204,62,6,3,2014
210000,2,1,960,1989,1820,Apartment / Condo / Townhouse,Metal,Composition Shingle,1,6,2,0,0,4,0,4,1,36,62,63,216,66,7.5,2,2012
215000,2,1,966,1958,0,Apartment / Condo / Townhouse,Brick,,,96,11,12,7,38,8,39,34,36,40,81,147,51,4,3,2010
285000,2,1,966,1994,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,109,12,10,14,103,12,60,44,52,42,63,258,78,7,3,2013
239900,2,1,976,1971,1120,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,95,6,10,6,42,2,51,24,32,83,31,200,61,5,3,2006
375500,2,1,983,1984,0,Apartment / Condo / Townhouse,Brick,,,194,6,35,39,193,10,63,35,46,37,90,298,103,6,3,2013
415000,2,1,993,1984,0,Single-Family,Brick,,,194,6,35,39,193,10,63,35,46,37,90,336,116,6,3,2006
230581,2,1,996,1987,0,Apartment / Condo / Townhouse,,Composition Shingle,,72,3,10,10,136,7,46,23,35,89,59,164,42,7,3,2007
400000,2,1,1008,1987,1995,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,19,1,3,0,8,1,7,6,41,62,85,254,77,6,2,2006
420000,2,1,1010,1954,0,Apartment / Condo / Townhouse,Brick,,,40,8,5,4,50,14,32,33,31,58,93,295,98,4,3,2005
292000,2,1,1011,1958,0,Apartment / Condo / Townhouse,Brick,,,96,11,12,7,38,8,39,34,36,40,81,149,51,4,3,2005
200000,2,1,1015,1930,1615,Single-Family,Brick,,1,185,8,31,32,284,33,173,81,38,56,55,353,117,2,3,2003
226000,2,1,1021,1961,0,Apartment / Condo / Townhouse,Brick,,,48,7,2,6,52,5,36,35,34,34,66,201,69,9,3,2010
220000,2,1,1024,2010,0,Apartment / Condo / Townhouse,Masonry,,,76,7,19,14,39,7,32,33,44,40,28,228,75,3,3,2011
280000,2,1,1032,1958,0,Single-Family,Brick,,,128,11,29,25,184,15,68,41,57,13,83,208,72,6,3,2009
299900,2,1,1032,1964,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,76,16,12,11,90,5,29,22,40,50,55,154,47,3,3,2006
204000,2,1,1044,1961,0,Apartment / Condo / Townhouse,Brick,,,48,7,2,6,52,5,36,35,34,34,66,201,69,9,3,2015
350000,2,1,1062,1983,0,Apartment / Condo / Townhouse,Brick,,,43,7,6,2,23,18,28,42,33,35,87,267,92,6,3,2007
228000,2,1,1070,1972,0,Single-Family,Brick,Composition Shingle,1,34,2,0,3,25,6,13,20,47,51,77,184,56,7,3,2014
300000,2,1,1073,1972,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,21,3,1,5,13,3,11,12,43,22,67,179,54,7,3,2005
280000,2,1,1083,1965,0,Apartment / Condo / Townhouse,Brick,,,132,9,13,15,79,9,49,49,55,23,42,190,66,5,3,2014
305500,2,1,1100,1960,0,Apartment / Condo / Townhouse,Brick,,,212,14,43,33,146,9,84,86,33,62,81,303,105,9,3,2008
348500,2,1,1103,1944,0,Apartment / Condo / Townhouse,Brick,,,48,12,6,2,48,19,41,41,36,23,90,252,87,6,3,2009
210000,2,1,1177,1975,0,Apartment / Condo / Townhouse,Brick,,1,78,18,15,15,70,6,45,30,45,47,54,220,67,3,3,2001
250000,2,1,1179,1964,0,Apartment / Condo / Townhouse,Brick,,,103,24,17,15,95,7,46,22,29,53,36,143,49,3,3,2006
229000,2,1,1185,1953,15681,Single-Family,Siding (Alum/Vinyl),,1,0,0,0,0,4,0,0,1,43,60,36,198,56,5,3,2002
300000,2,1,1188,1954,3001,Single-Family,Brick,Asphalt,1,29,7,3,3,36,1,23,15,34,68,36,255,84,2,3,2009
220000,2,1,1194,1979,0,Apartment / Condo / Townhouse,Brick,,1,88,17,18,18,88,6,47,25,59,54,57,188,57,3,3,2014
275000,2,1,1197,1972,1306,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,22,2,1,5,10,3,11,11,28,80,22,231,70,5,3,2013
312000,2,1,1200,1950,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,8,1,0,3,9,2,10,9,35,29,73,295,89,4,3,2012
265000,2,1,1240,1987,3484,Apartment / Condo / Townhouse,,Composition Shingle,1,67,4,4,11,162,3,40,24,35,50,66,261,67,7,3,2013
265000,2,1,1240,1987,3484,Single-Family,,asphalt,1,67,4,4,11,162,3,40,24,35,50,66,261,67,7,3,2013
231525,2,1,1242,1984,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,33,4,3,5,24,2,22,17,37,50,63,225,68,8,3,2012
239900,2,1,1250,1983,0,Apartment / Condo / Townhouse,Stucco,Gravel/Rock,1,39,15,7,4,35,0,11,7,35,44,80,217,66,4,3,2007
305000,2,1,1288,1980,0,Apartment / Condo / Townhouse,Brick,,1,82,16,16,17,73,6,46,25,59,54,57,233,71,3,3,2005
337600,2,1,1296,1954,3001,Single-Family,Brick,Asphalt,1,28,7,3,3,33,1,23,15,34,68,36,259,86,2,3,2005
248000,2,1,1344,1880,1102,Single-Family,Siding (Alum/Vinyl),Other,,144,8,28,26,260,26,145,59,52,66,81,475,158,4,3,1994
336900,2,1,1346,1986,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,35,5,4,5,23,2,21,13,34,36,86,217,66,8,3,2007
225000,2,1,1350,1954,1245,Apartment / Condo / Townhouse,Brick,Roll Composition,,141,7,28,26,259,25,146,58,52,66,81,515,171,4,3,2000
585000,2,1,1360,1983,0,Apartment / Condo / Townhouse,Brick,,,187,13,41,34,102,12,75,73,29,29,83,446,155,8,3,2013
205000,2,1,1526,2004,2478,Single-Family,Siding (Alum/Vinyl),,1,4,1,0,0,1,0,5,5,29,88,73,242,68,8,1,2012
330000,2,2,832,1943,1136,Apartment / Condo / Townhouse,Brick,Roll Composition,1,61,9,9,12,65,7,41,42,37,41,53,372,123,4,3,2009
250000,2,2,864,1942,1633,Apartment / Condo / Townhouse,Brick,Roll Composition,1,82,8,20,19,64,5,36,43,35,47,32,375,124,4,3,2008
200000,2,2,877,2000,0,Apartment / Condo / Townhouse,Brick,,,201,11,40,28,131,10,73,85,36,25,91,378,131,9,3,2012
286499,2,2,886,1981,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,19,3,1,5,28,3,9,13,48,40,59,195,59,7,1,2005
237500,2,2,886,1982,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,19,3,1,5,28,3,9,13,48,40,59,198,60,7,1,2014
261000,2,2,896,1951,3598,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,17,5,1,4,30,2,21,7,41,62,41,307,93,4,3,2009
277000,2,2,899,2000,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,75,3,8,12,82,9,37,34,56,25,67,269,82,7,3,2009
425000,2,2,910,1950,6023,Single-Family,Brick veneer,Shake Shingle,1,60,10,4,7,61,5,42,30,39,86,81,468,162,9,3,2008
385000,2,2,915,2005,183387,Apartment / Condo / Townhouse,Brick,,,146,8,16,20,74,11,49,58,30,46,41,265,92,7,3,2006
275000,2,2,930,1983,1625,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,27,6,1,3,22,5,23,15,35,55,73,286,87,5,3,2008
275000,2,2,933,1990,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,80,7,7,7,42,6,41,15,33,62,51,184,56,8,3,2005
201953,2,2,940,1986,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,80,4,3,13,173,2,47,37,30,49,33,150,38,6.5,2,2016
307500,2,2,940,1988,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,32,3,0,7,86,3,26,10,35,69,80,155,47,9,3,2005
551400,2,2,949,2007,0,Apartment / Condo / Townhouse,Brick,,,180,14,37,34,104,13,72,68,36,25,75,445,154,8,3,2007
435000,2,2,950,2005,46609,Apartment / Condo / Townhouse,Concrete Block,,,193,10,37,27,133,10,74,86,29,15,82,371,128,9,3,2010
230000,2,2,951,1988,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,49,6,6,5,47,5,30,17,39,37,55,209,63,6,3,2012
367000,2,2,951,1994,0,Apartment / Condo / Townhouse,Brick,,,160,8,24,23,93,10,55,78,34,34,92,331,115,9,3,2003
509500,2,2,954,2000,0,Apartment / Condo / Townhouse,Brick,,,201,11,40,28,131,10,73,85,36,25,91,381,132,9,3,2004
275000,2,2,959,2002,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,98,7,7,10,95,4,37,33,33,71,84,229,69,9,3,2003
279537,2,2,969,1988,0,Single-Family,Brick,Composition Shingle,1,117,6,17,17,243,11,66,42,32,33,92,278,85,10,3,2002
499900,2,2,970,2000,33541,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,25,127,11,72,83,36,25,91,360,124,9,3,2005
315000,2,2,980,1990,1206,Single-Family,Siding (Alum/Vinyl),Composition Shingle,1,40,4,4,2,30,4,13,8,35,49,84,295,90,6.5,2,2013
299900,2,2,980,1991,1104,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,39,5,4,2,31,3,13,9,35,49,84,274,83,6.5,2,2012
320000,2,2,984,1947,3598,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,78,11,5,15,30,10,54,24,32,43,63,278,85,5,3,2014
279000,2,2,986,1971,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,20,2,1,2,15,6,14,13,33,57,41,180,54,7,3,2005
386500,2,2,992,1944,0,Apartment / Condo / Townhouse,Brick,,1,73,14,11,9,49,18,48,43,36,23,90,316,109,6,3,2011
